tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
2010-01-01,60,4,73,27,14,73,CO,SEDANG,DKI1
2010-01-02,32,2,16,33,9,33,O3,BAIK,DKI1
2010-01-03,27,2,19,20,9,27,PM10,BAIK,DKI1
2010-01-04,22,2,16,15,6,22,PM10,BAIK,DKI1
2010-01-05,25,2,17,15,8,25,PM10,BAIK,DKI1
2010-01-06,30,3,22,19,11,30,PM10,BAIK,DKI1
2010-01-07,41,4,24,27,13,41,PM10,BAIK,DKI1
2010-01-08,64,8,51,19,15,64,PM10,SEDANG,DKI1
2010-01-09,55,5,39,23,16,55,PM10,SEDANG,DKI1
2010-01-10,34,5,23,26,12,34,PM10,BAIK,DKI1
2010-01-11,55,10,32,23,16,55,PM10,SEDANG,DKI1
2010-01-12,45,4,33,9,17,45,PM10,BAIK,DKI1
2010-01-13,28,5,29,10,12,29,CO,BAIK,DKI1
2010-01-14,38,6,28,15,10,38,PM10,BAIK,DKI1
2010-01-15,35,5,33,17,17,35,PM10,BAIK,DKI1
2010-01-16,54,5,38,17,18,54,PM10,SEDANG,DKI1
2010-01-17,44,4,28,22,14,44,PM10,BAIK,DKI1
2010-01-18,38,4,29,24,15,38,PM10,BAIK,DKI1
2010-01-19,40,3,43,23,23,43,CO,BAIK,DKI1
2010-01-20,61,5,63,16,17,63,CO,SEDANG,DKI1
2010-01-21,36,4,27,23,13,36,PM10,BAIK,DKI1
2010-01-22,51,4,45,14,13,51,PM10,SEDANG,DKI1
2010-01-23,35,3,30,20,14,35,PM10,BAIK,DKI1
2010-01-24,56,6,46,30,14,56,PM10,SEDANG,DKI1
2010-01-25,59,4,38,18,15,59,PM10,SEDANG,DKI1
2010-01-26,43,5,42,19,24,43,PM10,BAIK,DKI1
2010-01-27,54,8,38,40,16,54,PM10,SEDANG,DKI1
2010-01-28,72,8,55,20,17,72,PM10,SEDANG,DKI1
2010-01-29,51,8,24,19,11,51,PM10,SEDANG,DKI1
2010-01-30,47,8,32,19,12,47,PM10,BAIK,DKI1
2010-01-31,32,5,25,26,10,32,PM10,BAIK,DKI1
2010-02-01,41,7,30,17,13,41,PM10,BAIK,DKI1
2010-02-02,50,4,30,23,12,50,PM10,BAIK,DKI1
2010-02-03,49,7,33,57,23,57,O3,SEDANG,DKI1
2010-02-04,59,9,38,75,26,75,O3,SEDANG,DKI1
2010-02-05,63,7,39,41,23,63,PM10,SEDANG,DKI1
2010-02-06,65,8,59,24,15,65,PM10,SEDANG,DKI1
2010-02-07,60,10,45,47,17,60,PM10,SEDANG,DKI1
2010-02-08,46,5,31,42,17,46,PM10,BAIK,DKI1
2010-02-09,52,7,30,34,16,52,PM10,SEDANG,DKI1
2010-02-10,50,8,31,39,14,50,PM10,BAIK,DKI1
2010-02-11,47,5,27,26,14,47,PM10,BAIK,DKI1
2010-02-12,56,6,33,45,20,56,PM10,SEDANG,DKI1
2010-02-13,55,6,39,14,14,55,PM10,SEDANG,DKI1
2010-02-14,55,6,61,16,13,61,CO,SEDANG,DKI1
2010-02-15,40,4,30,63,22,63,O3,SEDANG,DKI1
2010-02-16,56,4,43,25,20,56,PM10,SEDANG,DKI1
2010-02-17,52,4,34,30,17,52,PM10,SEDANG,DKI1
2010-02-18,41,5,26,14,10,41,PM10,BAIK,DKI1
2010-02-19,37,4,43,17,17,43,CO,BAIK,DKI1
